atclNo,cortarNo,atclNm,atclStatCd,rletTpCd,uprRletTpCd,rletTpNm,tradTpCd,tradTpNm,vrfcTpCd,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,atclCfmYmd,repImgUrl,repImgTpCd,repImgThumb,lat,lng,atclFetrDesc,tagList,bildNm,minute,sameAddrCnt,sameAddrDirectCnt,sameAddrHash,sameAddrMaxPrc,sameAddrMinPrc,cpid,cpNm,cpCnt,rltrNm,directTradYn,minMviFee,maxMviFee,etRoomCnt,tradePriceHan,tradeRentPrice,tradeCheckedByOwner,cpLinkVO,dtlAddrYn,dtlAddr,sameAddrMaxPrc2,sameAddrMinPrc2,sellrNm
2424571057,1147010300,일반상가,R0,D02,D02,상가,B2,월세,OWNER,2/4,5000,500,"5,000",198,198,북서향,24.05.20.,,,,37.517348,126.841167,대로변 3045세대아파트초입 무권리,"['25년이상', '융자금적은', '중층', '주차가능']",,0,1,0,,,,bizmk,매경부동산,1,목동성은부동산공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'bizmk', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,,,
2424612204,1147010300,일반상가,R0,D02,D02,상가,B2,월세,OWNER,2/4,4000,170,"4,000",114,114,북향,24.05.20.,,,,37.522516,126.842696,신목동파라곤앞사거리O병원학원추천O주차O강서초옆O,"['25년이상', '중층', '주차가능', '총4층']",,0,1,0,,,,NEONET,부동산뱅크,1,래미안탑 공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'NEONET', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,,,
2424422530,1147010300,일반상가,R0,D02,D02,상가,A1,매매,OWNER,B1/15,550000,0,55억,2265,1312.38,북향,24.05.20.,,,,37.52146,126.846474,현황1층임 부가세포함,"['25년이내', '지하층', '주차가능', '북향']",,0,1,0,,,,SERVE,부동산써브,1,열린부동산컨설팅공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'SERVE', 'mobileArticleUrl': 'https://www.serve.co.kr/redirect/nland?UID=', 'mobileArticleLinkTypeCode': 'CPNAMEONLY', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': True}",N,,,,
2426531992,1147010300,단지내상가,R0,D02,D02,상가,B2,월세,DOC,1/2,2000,130,"2,000",53,23,서향,24.05.30.,,,,37.519159,126.845664,대단지 아파트상가 무권리 즉시입점가능 전 업종 가능합니다,"['15년이내', '1층', '총2층', '서향']",,0,1,0,,,,thebiz,이실장플러스,1,원탑공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'thebiz', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,,,
2426576825,1147010300,신정뉴타운롯데캐슬,R0,A01,A01,아파트,A1,매매,DOC,16/20,100000,0,10억,112,84.96,남향,24.05.30.,,,,37.518115,126.847256,세안고매매,"['15년이내', '방세개', '화장실두개', '고층']",106동,0,1,0,,,,ten,텐컴즈,1,서울공인중개사,N,0,0,0,,0,False,"{'cpId': 'ten', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,,,
2426566089,1147010300,빌라,R0,C02,C03,빌라,A1,매매,DOC,6/6,40000,0,4억,55,50.77,남향,24.05.30.,,,,37.520902,126.844147,"엘배유,생활편리,교통편리","['10년이내', '소형평수', '탑층', '방세개']",,0,1,0,,,,ten,텐컴즈,1,OK공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'ten', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,,,
2426427372,1147010300,대형사무실,R0,D01,D01,사무실,B2,월세,DOC,2/4,5000,500,"5,000",250,230,북향,24.05.30.,,,,37.517348,126.841167,패밀리레스토랑 운동시설,"['25년이상', '융자금없는', '중층', '주차가능']",,0,1,0,,,,SERVE,부동산써브,1,열린부동산컨설팅공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'SERVE', 'mobileArticleUrl': 'https://www.serve.co.kr/redirect/nland?UID=', 'mobileArticleLinkTypeCode': 'CPNAMEONLY', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': True}",N,,,,
2426507238,1147010300,빌라,R0,C02,C03,빌라,B1,전세,DOC,6/6,13986,0,"1억 3,986",31,27.24,남동향,24.05.30.,,,,37.521696,126.843949,"신축급,전용넓음,통베란다,엘베유","['10년이내', '화장실한개', '소형평수', '탑층']",,0,1,0,,,,SERVE,부동산써브,1,신월탑공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'SERVE', 'mobileArticleUrl': 'https://www.serve.co.kr/redirect/nland?UID=', 'mobileArticleLinkTypeCode': 'CPNAMEONLY', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': True}",N,,,,
2426311409,1147010300,장수마을,R0,A01,A01,아파트,A1,매매,DOC,3/12,57000,0,"5억 7,000",74,59.8,동향,24.05.29.,,,,37.52156,126.84443,"조용한 아파트 주거지,수리했던 집으로 깔끔,","['25년이내', '방세개', '화장실한개', '세대당1대']",304동,0,2,0,28A01A1Neea22d4baff6d2ae60b0d963b0174b6759a56fa63efff28fdc7291ffece6207e,"5억 8,000","5억 7,000",SERVE,부동산써브,2,청솔공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'SERVE', 'mobileArticleUrl': 'https://www.serve.co.kr/redirect/nland?UID=', 'mobileArticleLinkTypeCode': 'CPNAMEONLY', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': True}",N,,,,
2426420576,1147010300,중소형사무실,R0,D01,D01,사무실,B2,월세,DOC,3/6,7000,360,"7,000",187,165,남향,24.05.30.,,,,37.517609,126.84243,,"['10년이내', '융자금없는', '중층', '주차가능']",,0,1,0,,,,SERVE,부동산써브,1,열린부동산컨설팅공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'SERVE', 'mobileArticleUrl': 'https://www.serve.co.kr/redirect/nland?UID=', 'mobileArticleLinkTypeCode': 'CPNAMEONLY', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': True}",N,,,,
2426355627,1147010300,삼익플라주2차,R0,A01,A01,아파트,A1,매매,DOC,6/13,59000,0,"5억 9,000",100,79.09,서향,24.05.29.,,,,37.519352,126.841038,상태양호하며 입주협의가.,"['25년이내', '방세개', '화장실두개', '중층']",1동,0,1,0,,,,ten,텐컴즈,1,으뜸공인중개사사무소,N,0,0,0,,0,False,"{'cpId': 'ten', 'mobileArticleLinkTypeCode': 'NONE', 'mobileBmsInspectPassYn': 'Y', 'pcArticleLinkUseAtArticleTitle': False, 'pcArticleLinkUseAtCpName': False, 'mobileArticleLinkUseAtArticleTitle': False, 'mobileArticleLinkUseAtCpName': False}",N,,,,
