area,lat,lng,road_address,address
128,37.483098,127.062107,서울특별시 강남구 선릉로6길 17,서울 강남구 개포동 159-6
129,37.47849,127.059135,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
130,37.479955,127.056955,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
131,37.481736,127.062534,서울특별시 강남구 선릉로 8,서울 강남구 개포동 1280
132,37.480453,127.058339,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
133,37.480899,127.064522,서울특별시 강남구 선릉로 8,서울 강남구 개포동 1280
134,37.479249,127.057677,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
135,37.482494,127.058348,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
136,37.479332,127.058767,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
137,37.481459,127.062483,서울특별시 강남구 선릉로 8,서울 강남구 개포동 1280
138,37.480948,127.063574,서울특별시 강남구 선릉로 8,서울 강남구 개포동 1280
139,37.479531,127.060231,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
140,37.479729,127.059819,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
141,37.483418,127.062335,서울특별시 강남구 선릉로8길 22,서울 강남구 개포동 160-1
142,37.483414,127.062553,서울특별시 강남구 선릉로6길 23,서울 강남구 개포동 160-8
143,37.479729,127.059819,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
144,37.479729,127.059819,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
145,37.483685,127.06272,서울특별시 강남구 선릉로8길 28,서울 강남구 개포동 160-4
146,37.483871,127.061705,서울특별시 강남구 선릉로10길 22,서울 강남구 개포동 163
147,37.480453,127.058339,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
148,37.479218,127.06057,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
149,37.483263,127.061751,서울특별시 강남구 선릉로8길 13,서울 강남구 개포동 164-5
150,37.478884,127.061901,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
151,37.482606,127.057854,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
152,37.483096,127.060969,서울특별시 강남구 선릉로10길 4-3,서울 강남구 개포동 166-8
153,37.483871,127.061705,서울특별시 강남구 선릉로10길 22,서울 강남구 개포동 163
154,37.481919,127.057858,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
155,37.483871,127.061705,서울특별시 강남구 선릉로10길 22,서울 강남구 개포동 163
156,37.483712,127.062398,서울특별시 강남구 선릉로8길 25,서울 강남구 개포동 162-4
157,37.4812,127.064435,서울특별시 강남구 선릉로 8,서울 강남구 개포동 1280
158,37.482861,127.062115,서울특별시 강남구 선릉로6길 14,서울 강남구 개포동 158-5
159,37.4812,127.064435,서울특별시 강남구 선릉로 8,서울 강남구 개포동 1280
160,37.483712,127.062398,서울특별시 강남구 선릉로8길 25,서울 강남구 개포동 162-4
161,37.47849,127.059135,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
162,37.479729,127.059819,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
163,37.480137,127.060316,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
164,37.480453,127.058339,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
165,37.478749,127.058093,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
166,37.479531,127.060231,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
167,37.479955,127.056955,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
168,37.478636,127.060953,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
169,37.47849,127.059135,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
170,37.478636,127.060953,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
171,37.4837,127.057794,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
172,37.479531,127.060231,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
173,37.477817,127.060435,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
174,37.478636,127.060953,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
175,37.479332,127.058767,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
176,37.478749,127.058093,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
177,37.477595,127.056754,서울특별시 강남구 개포로 310,서울 강남구 일원동 741
178,37.47976,127.058636,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
179,37.479332,127.058767,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
180,37.482494,127.058348,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
181,37.47976,127.058636,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
182,37.482961,127.056781,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
183,37.479218,127.06057,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
184,37.480641,127.057691,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
185,37.478749,127.058093,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
186,37.480519,127.064042,서울특별시 강남구 선릉로 8,서울 강남구 개포동 1280
187,37.47849,127.059135,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
188,37.480519,127.064042,서울특별시 강남구 선릉로 8,서울 강남구 개포동 1280
189,37.478749,127.058093,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
190,37.480519,127.064042,서울특별시 강남구 선릉로 8,서울 강남구 개포동 1280
191,37.477595,127.056754,서울특별시 강남구 개포로 310,서울 강남구 일원동 741
192,37.479955,127.056955,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
193,37.479955,127.056955,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
194,37.47976,127.058636,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
195,37.480641,127.057691,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
196,37.479831,127.064807,서울특별시 강남구 선릉로 8,서울 강남구 개포동 1280
197,37.480641,127.057691,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
198,37.480519,127.064042,서울특별시 강남구 선릉로 8,서울 강남구 개포동 1280
199,37.479831,127.064807,서울특별시 강남구 선릉로 8,서울 강남구 개포동 1280
200,37.480948,127.063574,서울특별시 강남구 선릉로 8,서울 강남구 개포동 1280
201,37.478434,127.057393,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
202,37.481919,127.057858,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
203,37.4837,127.057794,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
204,37.481182,127.057478,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
205,37.479531,127.060231,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
206,37.482462,127.056707,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
207,37.480453,127.058339,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
208,37.480453,127.058339,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
209,37.479955,127.056955,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
210,37.477595,127.056754,서울특별시 강남구 개포로 310,서울 강남구 일원동 741
211,37.479332,127.058767,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
212,37.480899,127.064522,서울특별시 강남구 선릉로 8,서울 강남구 개포동 1280
213,37.479955,127.056955,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
214,37.477207,127.057147,서울특별시 강남구 개포로 310,서울 강남구 일원동 743
215,37.477207,127.057147,서울특별시 강남구 개포로 310,서울 강남구 일원동 742
216,37.47849,127.059135,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
217,37.479218,127.06057,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
218,37.483255,127.058313,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
219,37.479218,127.06057,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
220,37.483182,127.062009,서울특별시 강남구 선릉로8길 16,서울 강남구 개포동 159-5
221,37.482462,127.056707,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
222,37.47976,127.058636,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
223,37.480137,127.060316,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
224,37.480641,127.057691,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
225,37.47976,127.058636,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
226,37.483096,127.060969,서울특별시 강남구 선릉로10길 4-3,서울 강남구 개포동 166-8
227,37.483685,127.06272,서울특별시 강남구 선릉로8길 28,서울 강남구 개포동 160-4
228,37.484113,127.061651,서울특별시 강남구 선릉로10길 23,서울 강남구 개포동 169-8
229,37.480137,127.060316,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
230,37.483139,127.057625,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
231,37.483414,127.062553,서울특별시 강남구 선릉로6길 23,서울 강남구 개포동 160-8
232,37.481182,127.057478,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
233,37.479955,127.056955,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
234,37.478749,127.058093,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
235,37.480127,127.063991,서울특별시 강남구 선릉로 8,서울 강남구 개포동 1280
236,37.479831,127.064807,서울특별시 강남구 선릉로 8,서울 강남구 개포동 1280
237,37.479531,127.060231,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
238,37.477817,127.060435,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
239,37.478434,127.057393,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
240,37.481802,127.064267,서울특별시 강남구 선릉로 8,서울 강남구 개포동 1280
241,37.482494,127.058348,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
242,37.481736,127.062534,서울특별시 강남구 선릉로 8,서울 강남구 개포동 1280
243,37.480641,127.057691,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
244,37.47976,127.058636,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
245,37.480453,127.058339,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
246,37.477463,127.059699,서울특별시 강남구 개포로 310,서울 강남구 개포동 660-1
247,37.482494,127.062947,서울특별시 강남구 선릉로 8,서울 강남구 개포동 1280
