atclNo,atclNm,rletTpNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,lat,lng,atclFetrDesc,tagList,bildNm,town
2425724287,금광포란재,아파트,전세,5/11,85000,0,"8억 5,000",147,124.6,동향,37.53525,127.127531,"천호역더블역세권, 방4, 수리한집, 남향","['25년이내', '융자금없는', '역세권', '대형평수']",101동,송파구 풍납2동
2426004004,복합상가,상가,매매,2/23,191400,0,"19억 1,400",146,66.85,북향,37.537159,127.125845,"무피,지하철 입구 A급 코너자리,급매,힐스에비뉴 천호역 2층 201호","['2년이내', '역세권', '급매', '지상층(1층제외)']",,송파구 풍납2동
2426003990,복합상가,상가,매매,2/23,112900,0,"11억 2,900",100,45.71,북서향,37.537159,127.125845,대로변 2층 사이드. 분양가 그대로 매매. 사진O. 메디컬 추천,"['2년이내', '역세권', '지상층(1층제외)', '주차가능']",,송파구 풍납2동
2425952112,힐스테이트천호역젠트리스,오피스텔,월세,16/23,1000,90,"1,000",48,17.04,북동향,37.537204,127.125755,천호역 더블역세권 전입가능 귀한매물,"['2년이내', '역세권', '소형평수', '방한개']",B동,송파구 풍납2동
2425865785,이안강동컴홈스테이1차,오피스텔,매매,14/25,33000,0,"3억 3,000",65,26.6,북동향,37.537446,127.128856,"강동역, 천호역 더블역세권, 준신축급, 복층, 풀옵션","['4년이내', '역세권', '복층']",1동,송파구 풍납2동
2425902209,성내e-편한세상1차,아파트,매매,3/15,105000,0,"10억 5,000",104,84.49,동향,37.533349,127.13122,"광폭베란다, 강동역 도보 4분, 구조좋은 아파트 매매","['25년이내', '역세권', '방세개']",102동,송파구 풍납2동
2425981762,이안강동컴홈스테이1차,오피스텔,월세,8/25,3000,90,"3,000",57,24.15,남향,37.537446,127.128856,주거용 오피 전입신고 가 풀옵션 하시입주 남향,"['4년이내', '역세권', '소형평수', '방한개']",1동,송파구 풍납2동
2426075357,빌라,빌라,월세,4/5,5000,100,"5,000",53,45,북향,37.534581,127.127245,BEST 신축2년 풀옵션 투룸 거실 주차안됨 입주7월중순협의,"['2년이내', '융자금없는', '화장실한개']",,송파구 풍납2동
2426003982,복합상가,상가,매매,2/23,387400,0,"38억 7,400",67,30.55,북향,37.537159,127.125845,"천호역 6번출구 앞 코너 3개호실 201, 202, 235 통매각","['2년이내', '역세권', '지상층(1층제외)', '주차가능']",,송파구 풍납2동
2426085578,복합상가,상가,월세,1/4,5000,380,"5,000",53,24.09,,37.537159,127.125845,천호역 더블역세권 강동중심복합상권 입지최고,"['2년이내', '역세권', '1층', '주차가능']",,송파구 풍납2동
2426017377,단독,단독/다가구,매매,2/B1,85000,0,"8억 5,000",106,150.69,남서향,37.533438,127.125892,"가로주택정비사업 대상지, 건축심의통과, 갭투자","['25년이상', '방네개이상', '화장실네개이상', '남서향']",,송파구 풍납2동
2425985107,미사아름채(도시형),아파트,월세,4/16,17300,20,"1억 7,300",22,12.99,동향,37.538436,127.128269,"천호역 더블역세권, 보증보험 허그대출가능 편리한교통,수납짱","['10년이내', '역세권', '필로티']",1동,송파구 풍납2동
2425725534,금광포란재,아파트,매매,5/11,127000,0,"12억 7,000",147,124.6,동향,37.53525,127.127531,"천호역더블역세권, 방4, 수리한집,  입주가능","['25년이내', '역세권', '대형평수']",101동,송파구 풍납2동
2426098507,복합상가,상가,월세,2/23,5000,350,"5,000",88,26.74,동향,37.537159,127.125845,모든업종. 가시성 굿. 천호역1분 연결. 천호동 상권의 블랙홀,"['2년이내', '융자금없는', '역세권', '지상층(1층제외)']",,송파구 풍납2동
2426033898,다성이즈빌(166-94),오피스텔,전세,6/12,32000,0,"3억 2,000",53,35.49,서향,37.539019,127.131122,"전세대출 가능, 강동역 역세권, 풀 옵션","['4년이내', '역세권', '화장실한개', '소형평수']",1동,송파구 풍납2동
2425956005,일반상가,상가,월세,2/6,2500,240,"2,500",103,99.17,북향,37.537402,127.124462,"l 상가,사무실 l 좋은위치 l 베란다활용 l 내부화장실 l","['25년이내', '융자금없는', '역세권', '지상층(1층제외)']",,송파구 풍납2동
2425961679,비전그린,오피스텔,월세,2/8,1000,63,"1,000",29,22.44,남동향,37.538339,127.128559,복층 부분수리 상태굿 풀옵션저렴한월세 투역세권천호역 6월22일이후입주,"['25년이내', '융자금없는', '역세권']",1동,송파구 풍납2동
2425949054,일반상가,상가,월세,1/5,1000,70,"1,000",26,26,동향,37.533545,127.126265,성내동 가시성 좋은 점포,"['25년이상', '1층', '관리비10만원이하', '주차가능']",,송파구 풍납2동
2427047697,일반상가,상가,월세,1/7,5000,390,"5,000",76,52.89,서향,37.536928,127.123188,실16 대로변 유동인구 다양한업종 무권리,"['25년이내', '융자금적은', '역세권', '1층']",,송파구 풍납2동
2425902178,힐스테이트천호역젠트리스,오피스텔,월세,14/23,3000,150,"3,000",84,29.62,북동향,37.537204,127.125755,전입가능O 첫입주풀옵션 자주식주차O,"['2년이내', '융자금없는', '역세권', '화장실한개']",B동,송파구 풍납2동
2425862575,중소형사무실,사무실,월세,10/12,1000,70,"1,000",37,19.85,남향,37.537159,127.125845,"신축오피스,남향,천호역더블역세권","['2년이내', '융자금없는', '역세권', '고층']",,송파구 풍납2동
2425858536,중소형사무실,사무실,월세,5/23,500,70,500,3726,19.84,북향,37.537159,127.125845,,"['2년이내', '융자금없는', '역세권', '지상층(1층제외)']",,송파구 풍납2동
2425925626,복합상가,상가,월세,3/45,5000,350,"5,000",98,44.73,남동향,37.537159,127.125845,"할인임대 보증금5,000만원 월350만원  계약금마이너스피","['2년이내', '융자금없는', '테라스', '역세권']",,송파구 풍납2동
2425861883,중소형사무실,사무실,월세,11/12,1000,70,"1,000",37,19.85,남향,37.537159,127.125845,"신축 남향 오피스, 월드타워뷰","['2년이내', '융자금없는', '역세권', '고층']",,송파구 풍납2동
2425862103,중소형사무실,사무실,월세,11/12,1000,70,"1,000",37,19.85,남향,37.537159,127.125845,"남향,롯데월드뷰,천호역더블역세권","['2년이내', '융자금없는', '역세권', '고층']",,송파구 풍납2동
2425894688,복합상가,상가,월세,2/4,2500,180,"2,500",52,23.69,,37.537159,127.125845,천호역 더블역세권 강동의랜드마크 복합건물,"['2년이내', '역세권', '중층', '주차가능']",,송파구 풍납2동
2425875518,이안강동컴홈스테이1차,오피스텔,매매,22/25,30000,0,3억,57,24.15,서향,37.537446,127.128856,한강조망.신축급. 풀옵션.복층.더블역세권,"['4년이내', '역세권', '복층', '소형평수']",1동,송파구 풍납2동
2425861034,중소형사무실,사무실,월세,12/23,1000,75,"1,000",37,19.84,남향,37.537159,127.125845,남향. 뻥뷰. 천호역1분 연결. 편리한 교통. 주차좋음,"['2년이내', '융자금없는', '역세권', '중층']",,송파구 풍납2동
2425880295,복합상가,상가,매매,1/4,137100,0,"13억 7,100",80,36.54,,37.537159,127.125845,마피 급매 천호역 더블역세권 강동의최고입지,"['2년이내', '역세권', '1층', '급매']",,송파구 풍납2동
2425927625,중소형사무실,사무실,월세,5/6,1500,100,"1,500",66,49.59,북향,37.537402,127.124462,"전용15, 천호역 도보2분","['25년이내', '융자금적은', '역세권', '고층']",,송파구 풍납2동
2425859646,중소형사무실,사무실,월세,11/12,2000,150,"2,000",83,44.24,남향,37.537159,127.125845,"최고의 한강뷰,천호역연결","['2년이내', '융자금없는', '역세권', '고층']",,송파구 풍납2동
2425862255,중소형사무실,사무실,월세,8/12,1000,70,"1,000",37,19.85,남향,37.537159,127.125845,남향. 천호역1분 연결. 편리한주차. 지하2층부터 지상4층까지 상가,"['2년이내', '융자금없는', '역세권', '중층']",,송파구 풍납2동
2425860499,대형사무실,사무실,월세,10/23,3000,140,"3,000",83,44.24,서향,37.537159,127.125845,한강 뻥뷰. 급월세. 천호역1분 연결. 지하2층부터 지상4층까지 상가,"['2년이내', '융자금없는', '역세권', '중층']",,송파구 풍납2동
2425862419,중소형사무실,사무실,월세,10/23,3000,180,"3,000",73,39.24,북동향,37.537159,127.125845,실12. 천호대로 뻥뷰. 절충가,"['2년이내', '융자금없는', '역세권', '중층']",,송파구 풍납2동
2425859326,중소형사무실,사무실,월세,5/23,500,70,500,37,19.84,북향,37.537159,127.125845,천호대로방면 가시성 광고효과 굿. 4개호 모두 가능,"['2년이내', '융자금없는', '역세권', '지상층(1층제외)']",,송파구 풍납2동
2425861234,중소형사무실,사무실,월세,6/23,1000,70,"1,000",37,19.84,남향,37.537159,127.125845,남향. 천호역1분 연결.,"['2년이내', '융자금없는', '역세권', '지상층(1층제외)']",,송파구 풍납2동
2425947847,일반상가,상가,월세,2/2,3000,340,"3,000",128,95.86,북서향,37.536162,127.125622,M 2 M . ｜무권리｜전용약29p｜전면노출최고｜귀한자리｜와인바추천｜,"['25년이상', '융자금적은', '역세권', '고층']",,송파구 풍납2동
2425860726,중소형사무실,사무실,월세,11/23,1000,70,"1,000",37,19.84,남향,37.537159,127.125845,남향. 뻥뷰. 천호역1분 연결. 주차좋음. 지하2층부터 지상4층까지 상가,"['2년이내', '융자금없는', '역세권', '중층']",,송파구 풍납2동
2425859925,중소형사무실,사무실,월세,5/12,500,70,500,37,19.85,남향,37.537159,127.125845,"남향, 천호역 연결. 렌탈프리. 확장가","['2년이내', '융자금없는', '역세권', '중층']",,송파구 풍납2동
2425722353,복합상가,상가,월세,3/4,2000,160,"2,000",55,25.41,,37.537159,127.125845,,"['2년이내', '역세권', '고층', '주차가능']",,송파구 풍납2동
